unit,sex,age,region,year,value
YR,F,Y1,DE,2020,82.8
YR,F,Y10,DE,2020,73.8
YR,F,Y11,DE,2020,72.8
YR,F,Y12,DE,2020,71.8
YR,F,Y13,DE,2020,70.8
YR,F,Y14,DE,2020,69.8
YR,F,Y15,DE,2020,68.9
YR,F,Y16,DE,2020,67.9
YR,F,Y17,DE,2020,66.9
YR,F,Y18,DE,2020,65.9
YR,F,Y19,DE,2020,64.9
YR,F,Y2,DE,2020,81.8
YR,F,Y20,DE,2020,63.9
YR,F,Y21,DE,2020,62.9
YR,F,Y22,DE,2020,61.9
YR,F,Y23,DE,2020,60.9
YR,F,Y24,DE,2020,59.9
YR,F,Y25,DE,2020,58.9
YR,F,Y26,DE,2020,58.0
YR,F,Y27,DE,2020,57.0
YR,F,Y28,DE,2020,56.0
YR,F,Y29,DE,2020,55.0
YR,F,Y3,DE,2020,80.8
YR,F,Y30,DE,2020,54.0
YR,F,Y31,DE,2020,53.0
YR,F,Y32,DE,2020,52.0
YR,F,Y33,DE,2020,51.1
YR,F,Y34,DE,2020,50.1
YR,F,Y35,DE,2020,49.1
YR,F,Y36,DE,2020,48.1
YR,F,Y37,DE,2020,47.1
YR,F,Y38,DE,2020,46.2
YR,F,Y39,DE,2020,45.2
YR,F,Y4,DE,2020,79.8
YR,F,Y40,DE,2020,44.2
YR,F,Y41,DE,2020,43.2
YR,F,Y42,DE,2020,42.3
YR,F,Y43,DE,2020,41.3
YR,F,Y44,DE,2020,40.3
YR,F,Y45,DE,2020,39.4
YR,F,Y46,DE,2020,38.4
YR,F,Y47,DE,2020,37.5
YR,F,Y48,DE,2020,36.5
YR,F,Y49,DE,2020,35.6
YR,F,Y5,DE,2020,78.8
YR,F,Y50,DE,2020,34.6
YR,F,Y51,DE,2020,33.7
YR,F,Y52,DE,2020,32.8
YR,F,Y53,DE,2020,31.8
YR,F,Y54,DE,2020,30.9
YR,F,Y55,DE,2020,30.0
YR,F,Y56,DE,2020,29.1
YR,F,Y57,DE,2020,28.2
YR,F,Y58,DE,2020,27.3
YR,F,Y59,DE,2020,26.4
YR,F,Y6,DE,2020,77.8
YR,F,Y60,DE,2020,25.5
YR,F,Y61,DE,2020,24.6
YR,F,Y62,DE,2020,23.8
YR,F,Y63,DE,2020,22.9
